date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:55:54	56691/56691	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Apr%202021%2000:00:43%20GMT	http://app1.helwan.edu.eg/Education/TermAsrch.asp	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/TermAsrch.html	(from )
16:55:54	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2016%20Apr%202021%2000:00:43%20GMT	http://app1.helwan.edu.eg/robots.txt		(from )
16:55:54	6745/6745	---M-Z	200	added ('OK')	text/css	etag:%220b8dd8e3bfd51:0%22	http://app1.helwan.edu.eg/Education/HelNat.css	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/HelNat.css	(from http://app1.helwan.edu.eg/Education/TermAsrch.asp)
16:55:55	0/0	---M--	200	added ('OK')	text/html	date:Fri,%2016%20Apr%202021%2000:00:45%20GMT	http://app1.helwan.edu.eg/Education/ewlookup61.asp	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/ewlookup61.3.delayed	(from http://app1.helwan.edu.eg/Education/TermAsrch.asp)
16:55:55	14923/14923	---M--	200	added ('OK')	image/jpeg	etag:%220b03c86abfd51:0%22	http://app1.helwan.edu.eg/Education/Logo.JPG	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/Logo.jpg	(from http://app1.helwan.edu.eg/Education/TermAsrch.asp)
16:55:55	17/17	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Apr%202021%2000:00:45%20GMT	http://app1.helwan.edu.eg/Education/ewaddopt61.asp	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/ewaddopt61.html	(from http://app1.helwan.edu.eg/Education/TermAsrch.asp)
16:55:56	26/26	---M-Z	200	added ('OK')	application/javascript	etag:%2201ddda317bed51:0%22	http://app1.helwan.edu.eg/Education/userfn61.js	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/userfn61.js	(from http://app1.helwan.edu.eg/Education/TermAsrch.asp)
16:55:56	46309/46309	---M-Z	200	added ('OK')	application/javascript	etag:%2208a6dd4936cc81:0%22	http://app1.helwan.edu.eg/Education/ew61.js	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/ew61.js	(from http://app1.helwan.edu.eg/Education/TermAsrch.asp)
16:55:56	2361/2361	---M-Z	200	added ('OK')	text/html	etag:%220e45f87eebed51:0%22	http://app1.helwan.edu.eg/Education/Slider/Std.html	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/Slider/Std.html	(from http://app1.helwan.edu.eg/Education/TermAsrch.asp)
16:55:56	9503/9503	---M-Z	200	added ('OK')	text/html	date:Fri,%2016%20Apr%202021%2000:00:46%20GMT	http://app1.helwan.edu.eg/Education/TermBsrch.asp	C:/My%20Web%20Sites/helwanedu/app1.helwan.edu.eg/Education/TermBsrch.html	(from http://app1.helwan.edu.eg/Education/TermAsrch.asp)
